,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
0,39,State government,77516,Bachelors,13,Single,Administrative,Not in family,White,Male,2174,0,40,United States,<=50K
1,50,Self employed,83311,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,13,United States,<=50K
2,38,Private,215646,High school graduate,9,Divorced,Handlers,Not in family,White,Male,0,0,40,United States,<=50K
3,53,Private,234721,11th,7,Married civilian,Handlers,Husband,Black,Male,0,0,40,United States,<=50K
4,28,Private,338409,Bachelors,13,Married civilian,Professional,Wife,Black,Female,0,0,40,Cuba,<=50K
5,37,Private,284582,Masters,14,Married civilian,Managerial,Wife,White,Female,0,0,40,United States,<=50K
6,49,Private,160187,9th,5,Married spouse absent,Service,Not in family,Black,Female,0,0,16,Jamaica,<=50K
7,52,Self employed,209642,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,45,United States,>50K
8,31,Private,45781,Masters,14,Single,Professional,Not in family,White,Female,14084,0,50,United States,>50K
9,42,Private,159449,Bachelors,13,Married civilian,Managerial,Husband,White,Male,5178,0,40,United States,>50K
10,37,Private,280464,College,10,Married civilian,Managerial,Husband,Black,Male,0,0,80,United States,>50K
11,30,State government,141297,Bachelors,13,Married civilian,Professional,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
12,23,Private,122272,Bachelors,13,Single,Administrative,Child,White,Female,0,0,30,United States,<=50K
13,32,Private,205019,Associate academic,12,Single,Sales,Not in family,Black,Male,0,0,50,United States,<=50K
15,34,Private,245487,7th-8th,4,Married civilian,Transport,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
16,25,Self employed,176756,High school graduate,9,Single,Agricultural,Child,White,Male,0,0,35,United States,<=50K
17,32,Private,186824,High school graduate,9,Single,Machine inspectors,Single,White,Male,0,0,40,United States,<=50K
18,38,Private,28887,11th,7,Married civilian,Sales,Husband,White,Male,0,0,50,United States,<=50K
19,43,Self employed,292175,Masters,14,Divorced,Managerial,Single,White,Female,0,0,45,United States,>50K
20,40,Private,193524,Doctorate,16,Married civilian,Professional,Husband,White,Male,0,0,60,United States,>50K
21,54,Private,302146,High school graduate,9,Separated,Service,Single,Black,Female,0,0,20,United States,<=50K
22,35,Federal government,76845,9th,5,Married civilian,Agricultural,Husband,Black,Male,0,0,40,United States,<=50K
23,43,Private,117037,11th,7,Married civilian,Transport,Husband,White,Male,0,2042,40,United States,<=50K
24,59,Private,109015,High school graduate,9,Divorced,Tech support,Single,White,Female,0,0,40,United States,<=50K
25,56,Local government,216851,Bachelors,13,Married civilian,Tech support,Husband,White,Male,0,0,40,United States,>50K
26,19,Private,168294,High school graduate,9,Single,Craft and repair,Child,White,Male,0,0,40,United States,<=50K
27,39,Private,367260,High school graduate,9,Divorced,Managerial,Not in family,White,Male,0,0,80,United States,<=50K
28,49,Private,193366,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
29,23,Local government,190709,Associate academic,12,Single,Protective services,Not in family,White,Male,0,0,52,United States,<=50K
